model,n_conversations,chunks_failed,wer,cer,eesr,en_spans_total,eesr_clinical,eesr_clinical_total,cir,cir_total,spr,spr_total,cmi_delta,latency_ms_mean_per_chunk,latency_ms_p95_per_chunk
elevenlabs-scribe-v2,2,0,0.1281,0.0581,0.8667,75,,0,,0,,0,7.85,5978,5631
jacaranda-asr-stt,2,0,0.5475,0.3904,0.4,75,,0,,0,,0,24.305,70800,69207
sahara-v2.5-corr-off,2,0,0.1583,0.0987,0.7067,75,,0,,0,,0,6.805,6506,5499
whisper-large-v3-auto,12,0,0.3316,0.1487,0.8247,616,0.9333,15,1.0,1,1.0,1,3.3675,26954,42894
whisper-large-v3-sw,2,0,0.2752,0.1307,0.7867,75,,0,,0,,0,10.695,83383,69468
